,Название,Код,Срок(месяца),Цена,Рейтинг,Величина купона(-13%),Номинал,Выплат в год,Доходность(год),Доходность(все время),Доходность(% в год),Ссылка
130,Глоракс 1P-01,RU000A105XF4,17,992.1,Средний,32.19,1000.0,4,128.76,136.81,12.98,https://www.tinkoff.ru/invest/bonds/RU000A105XF4/
131,Новые Технологии выпуск 2,RU000A106PW3,34,933.9,Средний,54.81,1000.0,2,109.62,931.77,11.74,https://www.tinkoff.ru/invest/bonds/RU000A106PW3/
132,ГТЛК выпуск 9,RU000A0ZZ1J8,11,929.5,02.10.2024,15.92,1000.0,4,63.68,43.78,6.85,https://www.tinkoff.ru/invest/bonds/RU000A0ZZ1J8/
133,Роделен 1P-04,RU000A105SK4,21,980.8,Средний,10.0,1000.0,12,120.0,17.5,12.23,https://www.tinkoff.ru/invest/bonds/RU000A105SK4/
134,ГТЛК выпуск 3,RU000A0JXE06,3,985.4,06.02.2024,23.84,1000.0,4,95.36,17.88,9.68,https://www.tinkoff.ru/invest/bonds/RU000A0JXE06/
135,ДАРС-Девелопмент выпуск 1,RU000A106UM4,22,995.6,Средний,32.19,1000.0,4,128.76,177.04,12.93,https://www.tinkoff.ru/invest/bonds/RU000A106UM4/
136,Петроинжиниринг выпуск 1,RU000A103RL9,11,952.0,25.09.2024,21.14,1000.0,4,84.56,58.14,8.88,https://www.tinkoff.ru/invest/bonds/RU000A103RL9/
137,Сибэнергомаш-БКЗ выпуск 1,RU000A104K37,16,995.1,Средний,32.19,1000.0,4,128.76,128.76,12.94,https://www.tinkoff.ru/invest/bonds/RU000A104K37/
138,МФК ВЭББАНКИР 1P-02,RU000A105575,28,961.1,Низкий,11.4,1000.0,12,136.8,26.6,14.23,https://www.tinkoff.ru/invest/bonds/RU000A105575/
139,Элит Строй 1P-01,RU000A105YF2,28,989.8,Средний,10.35,1000.0,12,124.2,24.15,12.55,https://www.tinkoff.ru/invest/bonds/RU000A105YF2/
140,Лизинг трейд выпуск 3,RU000A1034X1,30,928.2,Средний,7.83,1000.0,12,93.96,19.57,10.12,https://www.tinkoff.ru/invest/bonds/RU000A1034X1/
141,Роделен,RU000A105M59,13,1000.1,Средний,10.7,1000.0,12,128.4,11.59,12.84,https://www.tinkoff.ru/invest/bonds/RU000A105M59/
142,Завод КЭС выпуск 2,RU000A102AB8,12,794.32,Низкий,24.27,800.0,4,97.08,72.81,12.22,https://www.tinkoff.ru/invest/bonds/RU000A102AB8/
143,Солид-Лизинг выпуск 1,RU000A104CF1,38,735.0,Средний,23.58,750.0,4,94.32,224.01,12.83,https://www.tinkoff.ru/invest/bonds/RU000A104CF1/
144,ГТЛК выпуск 17,RU000A101QL5,31,834.5,28.05.2026,16.09,1000.0,4,64.36,124.7,7.71,https://www.tinkoff.ru/invest/bonds/RU000A101QL5/
145,Сбербанк 002СУБ-02R,RU000A102HC1,29,8250000.0,Средний,303665.67,10000000.0,2,607331.34,4403152.21,7.36,https://www.tinkoff.ru/invest/bonds/RU000A102HC1/
