,Название,Код,Цена,Рейтинг,Срок(месяца),Дата купона,Величина купона(-13%),Номинал,Выплат в год,Доходность(год),Доходность(все время),Доходность(% в год),Ссылка
214,Балтийский лизинг БО-П03,RU000A101Z66,366.0,Высокий,6.0,2024-01-26,5.74,375.0,4.0,22.96,5.74,6.27,https://www.tinkoff.ru/invest/bonds/RU000A101Z66/
215,Россети Центр 001Р-03,RU000A107AG6,1000.7,Высокий,40.0,2024-02-03,12.01,1000.0,12.0,144.12,36.03,14.4,https://www.tinkoff.ru/invest/bonds/RU000A107AG6/
216,Биннофарм Групп выпуск 2,RU000A104Z71,974.9,Высокий,161.0,2024-01-18,21.75,1000.0,4.0,87.0,870.0,8.92,https://www.tinkoff.ru/invest/bonds/RU000A104Z71/
217,Мосгорломбард выпуск 3,RU000A106FW4,1010.8,Низкий,41.0,2024-03-29,34.63,1000.0,4.0,138.52,346.3,13.7,https://www.tinkoff.ru/invest/bonds/RU000A106FW4/
218,Урожай выпуск 2,RU000A1037C8,985.0,Средний,4.0,2024-03-05,24.88,1000.0,4.0,99.52,24.88,10.1,https://www.tinkoff.ru/invest/bonds/RU000A1037C8/
219,Балтийский лизинг БО-П06,RU000A1058M3,947.8,Высокий,20.0,2024-03-27,47.24,1000.0,2.0,94.48,472.4,9.97,https://www.tinkoff.ru/invest/bonds/RU000A1058M3/
220,Агротек БО-03,RU000A106YL8,1006.0,Низкий,41.0,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A106YL8/
221,re:Store выпуск 1,RU000A103935,971.0,Средний,4.0,2024-03-14,17.49,1000.0,4.0,69.96,17.49,7.2,https://www.tinkoff.ru/invest/bonds/RU000A103935/
222,Гарант-Инвест 2Р-06,RU000A106862,972.4,Средний,15.0,2024-02-10,9.22,1000.0,12.0,110.64,9.22,11.38,https://www.tinkoff.ru/invest/bonds/RU000A106862/
223,Центральная ППК выпуск 3,RU000A103F27,970.5,Средний,6.0,2024-01-17,41.15,1000.0,2.0,82.3,123.45,8.48,https://www.tinkoff.ru/invest/bonds/RU000A103F27/
224,Электрощит-Стройсистема выпуск 2,RU000A101UD4,967.9,Средний,17.0,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A101UD4/
225,Петроинжиниринг выпуск 1,RU000A103RL9,958.8,Средний,32.0,2024-03-22,21.14,1000.0,4.0,84.56,169.12,8.82,https://www.tinkoff.ru/invest/bonds/RU000A103RL9/
226,Аренза-Про выпуск 2,RU000A106GC4,955.1,Средний,29.0,2024-01-30,9.22,1000.0,12.0,110.64,18.44,11.58,https://www.tinkoff.ru/invest/bonds/RU000A106GC4/
227,Т.Г. Шевченко выпуск 4,RU000A104ZU1,721.9,Средний,30.0,2024-01-25,0.0,1000.0,4.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A104ZU1/
228,Новые Технологии выпуск 2,RU000A106PW3,935.4,Высокий,54.0,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A106PW3/
229,Охта Групп БО-П03,RU000A1070A3,1004.0,Низкий,32.0,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A1070A3/
230,Лизинг-Трейд 001P-10,RU000A107480,1042.5,Низкий,56.0,2024-01-21,14.27,1000.0,12.0,171.24,57.08,16.43,https://www.tinkoff.ru/invest/bonds/RU000A107480/
231,ЛК РОДЕЛЕН 002P-01,RU000A107076,1003.0,Средний,55.0,2024-02-07,11.22,1000.0,12.0,134.64,44.88,13.42,https://www.tinkoff.ru/invest/bonds/RU000A107076/
232,Сегежа,RU000A104UA4,994.4,Средний,159.0,2024-02-26,32.19,1000.0,4.0,128.76,1255.41,12.95,https://www.tinkoff.ru/invest/bonds/RU000A104UA4/
