,Название,Код,Цена,Рейтинг,Срок(месяца),Величина купона(-13%),Номинал,Выплат в год,Доходность(год),Доходность(все время),Доходность(% в год),Ссылка
134,Бизнес Альянс 1Р-01,RU000A105YQ9,953.1,Низкий,26.0,32.19,1000.0,4.0,128.76,193.14,13.51,https://www.tinkoff.ru/invest/bonds/RU000A105YQ9/
135,Саммит 001P-02,RU000A107AZ6,1007.3,Средний,34.0,14.96,1000.0,12.0,179.52,29.92,17.82,https://www.tinkoff.ru/invest/bonds/RU000A107AZ6/
136,Энергоника 001Р-04,RU000A106R79,972.1,Средний,55.0,34.63,1000.0,4.0,138.52,450.19,14.25,https://www.tinkoff.ru/invest/bonds/RU000A106R79/
137,Сибстекло БО-П04,RU000A107209,1000.0,Низкий,45.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A107209/
138,ТЕХНО Лизинг 001Р-06,RU000A107FN1,1001.0,Средний,58.0,12.09,1000.0,12.0,145.08,48.36,14.49,https://www.tinkoff.ru/invest/bonds/RU000A107FN1/
139,СОБИЛИЗ1Р2,RU000A106AK0,854.92,Низкий,28.0,8.96,880.0,12.0,107.52,17.92,12.58,https://www.tinkoff.ru/invest/bonds/RU000A106AK0/
140,КЛС-Трейд БО-02,RU000A105QL6,1007.9,Низкий,12.0,38.98,1000.0,4.0,155.92,116.94,15.47,https://www.tinkoff.ru/invest/bonds/RU000A105QL6/
141,КОНТРОЛ лизинг выпуск 1,RU000A106T85,985.7,Низкий,55.0,11.57,1000.0,12.0,138.84,46.28,14.09,https://www.tinkoff.ru/invest/bonds/RU000A106T85/
142,ПЮДМ БО-П2,RU000A1020K7,9479.0,Низкий,18.0,92.92,10000.0,12.0,1115.04,92.92,11.76,https://www.tinkoff.ru/invest/bonds/RU000A1020K7/
143,ПР-Лизинг 002P-01,RU000A1022E6,952.4,Средний,67.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A1022E6/
