,Название,Код,Цена,Рейтинг,Срок(месяца),Дата купона,Величина купона(-13%),Номинал,Выплат в год,Доходность(год),Доходность(все время),Доходность(% в год),Ссылка,НКД
0,Газпром Капитал выпуск 7,RU000A106375,1000.0,Высокий,50.0,2024-04-10 00:00:00,1.74,1000.0,4.0,6.96,20.88,0.7,https://www.tinkoff.ru/invest/bonds/RU000A106375/,2.0
0,Легенда 2Р-01,RU000A1067H4,1023.5,Средний,39.0,2024-02-08 00:00:00,37.24,1000.0,4.0,148.96,335.16,14.55,https://www.tinkoff.ru/invest/bonds/RU000A1067H4/,37.0
0,ОФЗ 29022,SU29022RMFS9,992.5,Высокий,114.0,2024-01-31 00:00:00,24.97,1000.0,4.0,99.88,699.16,10.06,https://www.tinkoff.ru/invest/bonds/SU29022RMFS9/,30.0
0,SELGOLD002,RU000A106XD7,5834.734672,Высокий,71.0,2024-04-11 00:00:00,68.56,5749.64,4.0,274.24,1165.52,4.7,https://www.tinkoff.ru/invest/bonds/RU000A106XD7/,4.0
0,МТС выпуск 002P-01,RU000A1075E4,999.4,Высокий,45.0,2024-01-30 00:00:00,0.0,1000.0,4.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A1075E4/,34.0
0,Норильский никель БО-09,RU000A1069N8,1012.8,Высокий,52.0,2024-02-21 00:00:00,30.54,1000.0,4.0,122.16,397.02,12.06,https://www.tinkoff.ru/invest/bonds/RU000A1069N8/,24.0
0,ЕАБР выпуск 3Р-007,RU000A1064L3,1009.4,Средний,51.0,2024-04-25 00:00:00,48.72,1000.0,2.0,97.44,1218.0,9.65,https://www.tinkoff.ru/invest/bonds/RU000A1064L3/,37.0
0,ДОМ.РФ ИА 08,RU000A102GD1,327.401419,Средний,311.0,2024-03-28 00:00:00,5.05,389.81,4.0,20.2,388.85,6.17,https://www.tinkoff.ru/invest/bonds/RU000A102GD1/,1.0
0,Быстроденьги,RU000A104SJ9,1005.7,Средний,15.0,2024-01-25 00:00:00,14.96,1000.0,12.0,179.52,14.96,17.85,https://www.tinkoff.ru/invest/bonds/RU000A104SJ9/,12.0
0,РЖД 1P-27R,RU000A106VV3,1015.4,Высокий,43.0,2024-02-15 00:00:00,12.18,1000.0,12.0,146.16,36.54,14.39,https://www.tinkoff.ru/invest/bonds/RU000A106VV3/,0.0
0,Нафтатранс Плюс выпуск 2,RU000A100YD8,3354.642,Средний,8.0,2024-01-30 00:00:00,35.67,3330.0,12.0,428.04,0.0,12.76,https://www.tinkoff.ru/invest/bonds/RU000A100YD8/,21.0
0,Газпром нефть выпуск 6,RU000A106565,1002.4,Высокий,50.0,2024-01-19 00:00:00,30.97,1000.0,4.0,123.88,371.64,12.36,https://www.tinkoff.ru/invest/bonds/RU000A106565/,34.0
0,ИКС 5 ФИНАНС 003P-02,RU000A1075S4,1014.5,Высокий,33.0,2024-01-31 00:00:00,12.18,1000.0,12.0,146.16,24.36,14.41,https://www.tinkoff.ru/invest/bonds/RU000A1075S4/,7.0
0,Сибнефтехимтрейд выпуск 2,RU000A104DZ7,1022.0,Низкий,35.0,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A104DZ7/,
0,Мосгорломбард,RU000A104XJ9,1114.9,Низкий,35.0,2024-04-02 00:00:00,54.2,1000.0,4.0,216.8,433.6,19.45,https://www.tinkoff.ru/invest/bonds/RU000A104XJ9/,9.0
0,ДиректЛизинг БО 002Р-02,RU000A1078X8,995.88624,Средний,57.0,2024-01-22 00:00:00,13.31,983.3,12.0,159.72,53.24,16.04,https://www.tinkoff.ru/invest/bonds/RU000A1078X8/,12.0
0,Нафтатранс Плюс БО-04,RU000A105CF8,1016.0,Средний,20.0,2024-01-24 00:00:00,13.57,1000.0,12.0,162.84,13.57,16.03,https://www.tinkoff.ru/invest/bonds/RU000A105CF8/,11.0
0,РСХБ выпуск БО-02-002Р,RU000A1068R1,1014.0,Высокий,27.0,2024-01-22 00:00:00,12.09,1000.0,12.0,145.08,24.18,14.31,https://www.tinkoff.ru/invest/bonds/RU000A1068R1/,11.0
