,Название,Код,Цена,Рейтинг,Срок(месяца),Дата купона,Величина купона(-13%),Номинал,Выплат в год,Доходность(год),Доходность(все время),Доходность(% в год),Ссылка,НКД
135,РСХБ 09Т1,RU000A0ZZ505,757.4,Средний,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A0ZZ505/,0.0
136,Реаторг 001Р-01,RU000A105BP9,992.6,Низкий,21.0,2024-01-23,34.63,1000.0,4.0,138.52,173.15,13.96,https://www.tinkoff.ru/invest/bonds/RU000A105BP9/,36.0
137,Энергоника 001Р-04,RU000A106R79,979.4,Средний,54.0,2024-02-15,34.63,1000.0,4.0,138.52,450.19,14.14,https://www.tinkoff.ru/invest/bonds/RU000A106R79/,26.0
138,ФЭС-Агро выпуск 2,RU000A1030N0,991.4,Средний,3.0,2024-01-17,23.84,1000.0,4.0,95.36,0.0,9.62,https://www.tinkoff.ru/invest/bonds/RU000A1030N0/,27.0
139,Глобал Факторинг Нетворк Рус БО-02-001P,RU000A1060U2,999.3,Низкий,31.0,2024-01-22,11.74,1000.0,12.0,140.88,23.48,14.1,https://www.tinkoff.ru/invest/bonds/RU000A1060U2/,10.0
140,Т.Г. Шевченко выпуск 3,RU000A104Z89,830.8,Средний,18.0,2024-01-18,0.0,1000.0,4.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A104Z89/,0.0
141,Соби-Лизинг 001P-01,RU000A105CL6,666.851,Низкий,21.0,2024-01-25,7.66,670.0,12.0,91.92,7.66,13.78,https://www.tinkoff.ru/invest/bonds/RU000A105CL6/,6.0
142,СПМК БО-01,RU000A105BW5,1016.4,Низкий,21.0,2024-01-25,38.98,1000.0,4.0,155.92,194.9,15.34,https://www.tinkoff.ru/invest/bonds/RU000A105BW5/,40.0
143,БЭЛТИ-ГРАНД БО-П05,RU000A105427,825.52,Низкий,26.0,2024-02-13,8.44,850.0,12.0,101.28,16.88,12.27,https://www.tinkoff.ru/invest/bonds/RU000A105427/,0.0
144,Лизинг-Трейд 1P-08,RU000A106987,950.0,Низкий,51.0,2024-01-18,10.35,1000.0,12.0,124.2,41.4,13.07,https://www.tinkoff.ru/invest/bonds/RU000A106987/,11.0
145,МаксимаТелеком выпуск 1,RU000A101XD8,933.3,Средний,29.0,2024-01-16,41.15,1000.0,2.0,82.3,576.1,8.82,https://www.tinkoff.ru/invest/bonds/RU000A101XD8/,0.0
146,ЭкономЛизинг 001Р-05,RU000A106R12,966.3,Низкий,30.0,2024-02-14,33.58,1000.0,4.0,134.32,235.06,13.9,https://www.tinkoff.ru/invest/bonds/RU000A106R12/,26.0
147,Лизинг-Трейд выпуск 9,RU000A106GB6,933.7,Средний,52.0,2024-01-30,10.0,1000.0,12.0,120.0,40.0,12.85,https://www.tinkoff.ru/invest/bonds/RU000A106GB6/,6.0
148,ПР-Лизинг выпуск 2,RU000A106EP1,923.8,Средний,99.0,2024-01-19,8.87,1000.0,12.0,106.44,70.96,11.52,https://www.tinkoff.ru/invest/bonds/RU000A106EP1/,9.0
149,Мосгорломбард выпуск 4,RU000A106MV2,982.9,Низкий,48.0,2024-01-30,34.63,1000.0,4.0,138.52,415.56,14.09,https://www.tinkoff.ru/invest/bonds/RU000A106MV2/,33.0
150,Глоракс 1P-01,RU000A105XF4,983.6,Средний,13.0,2024-03-12,32.19,1000.0,4.0,128.76,96.57,13.09,https://www.tinkoff.ru/invest/bonds/RU000A105XF4/,14.0
151,КОНТРОЛ лизинг выпуск 1,RU000A106T85,997.8,Низкий,54.0,2024-01-28,11.57,1000.0,12.0,138.84,46.28,13.91,https://www.tinkoff.ru/invest/bonds/RU000A106T85/,8.0
152,ПР-Лизинг 002P-01,RU000A1022E6,955.4,Средний,66.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A1022E6/,0.0
153,Лизинг-Трейд 1P-07,RU000A105WZ4,956.8,Низкий,48.0,2024-01-31,10.35,1000.0,12.0,124.2,41.4,12.98,https://www.tinkoff.ru/invest/bonds/RU000A105WZ4/,6.0
154,ЭконЛиз1Р4,RU000A1067T9,952.3,Низкий,27.0,2024-02-13,29.58,1000.0,4.0,118.32,177.48,12.42,https://www.tinkoff.ru/invest/bonds/RU000A1067T9/,24.0
155,СИБАВТО1Р2,RU000A106CB5,944.7,Низкий,52.0,2024-03-05,31.41,1000.0,4.0,125.64,408.33,13.3,https://www.tinkoff.ru/invest/bonds/RU000A106CB5/,16.0
156,РЕСО-Лизинг БО-П выпуск 11,RU000A103C53,965.5,Средний,89.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A103C53/,0.0
157,Маныч-Агро выпуск 1,RU000A1032D7,955.6,Средний,15.0,2024-01-26,26.01,1000.0,4.0,104.04,78.03,10.89,https://www.tinkoff.ru/invest/bonds/RU000A1032D7/,26.0
158,ПЗ Пушкинское 001Р-01,RU000A107761,1043.0,Низкий,57.0,2024-02-13,38.98,1000.0,4.0,155.92,545.72,14.95,https://www.tinkoff.ru/invest/bonds/RU000A107761/,31.0
159,Гарант-Инвест 002P-07,RU000A106SK2,1000.0,Средний,54.0,2024-01-26,10.35,1000.0,12.0,124.2,41.4,12.42,https://www.tinkoff.ru/invest/bonds/RU000A106SK2/,8.0
160,re:Store выпуск 1,RU000A103935,966.9,Средний,4.0,2024-03-14,17.49,1000.0,4.0,69.96,17.49,7.24,https://www.tinkoff.ru/invest/bonds/RU000A103935/,7.0
161,Брусника выпуск 2,RU000A102Y58,986.4,Средний,2.0,2024-04-01,20.79,1000.0,4.0,83.16,0.0,8.43,https://www.tinkoff.ru/invest/bonds/RU000A102Y58/,4.0
162,РКС2Р3,RU000A106DV1,979.0,Средний,28.0,2024-03-18,33.06,1000.0,4.0,132.24,231.42,13.51,https://www.tinkoff.ru/invest/bonds/RU000A106DV1/,12.0
163,КЛС-Трейд БО-02,RU000A105QL6,1014.8,Низкий,11.0,2024-04-09,38.98,1000.0,4.0,155.92,77.96,15.36,https://www.tinkoff.ru/invest/bonds/RU000A105QL6/,3.0
164,АФК Система выпуск 5,RU000A0JWZY6,992.1,Высокий,33.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A0JWZY6/,0.0
165,Т.Г. Шевченко выпуск 2,RU000A101P92,971.4,Средний,15.0,2024-02-15,28.19,1000.0,4.0,112.76,84.57,11.61,https://www.tinkoff.ru/invest/bonds/RU000A101P92/,21.0
166,Аренза-Про выпуск 1,RU000A104C78,396.2,Средний,11.0,2024-03-25,12.53,400.0,4.0,50.12,25.06,12.65,https://www.tinkoff.ru/invest/bonds/RU000A104C78/,3.0
167,Нафтатранс Плюс выпуск 5,RU000A106Y21,1031.0,Низкий,31.0,2024-01-24,13.57,1000.0,12.0,162.84,27.14,15.79,https://www.tinkoff.ru/invest/bonds/RU000A106Y21/,11.0
168,Газпром Капитал 001Б-02,RU000A1039A8,870000.0,Средний,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A1039A8/,0.0
169,Агротек выпуск 1,RU000A105QZ6,1000.3,Низкий,26.0,2024-04-11,35.76,1000.0,4.0,143.04,214.56,14.3,https://www.tinkoff.ru/invest/bonds/RU000A105QZ6/,2.0
170,Солид-Лизинг БО-001-07,RU000A105P07,883.08,Низкий,22.0,2024-01-17,9.31,900.0,12.0,111.72,9.31,12.65,https://www.tinkoff.ru/invest/bonds/RU000A105P07/,10.0
171,Газпром Капитал БЗО26-1-Е,RU000A105QX1,76046.8362,Средний,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A105QX1/,0.0
172,Группа Продовольствие 001P-03,RU000A106YN4,999.5,Низкий,31.0,2024-01-26,11.4,1000.0,12.0,136.8,22.8,13.69,https://www.tinkoff.ru/invest/bonds/RU000A106YN4/,8.0
173,Сэтл Групп выпуск 3,RU000A1030X9,981.3,Высокий,3.0,2024-01-17,18.36,1000.0,4.0,73.44,0.0,7.48,https://www.tinkoff.ru/invest/bonds/RU000A1030X9/,21.0
174,ГК Пионер-001Р выпуск 5,RU000A102KG6,647.756,Средний,11.0,2024-03-19,14.09,670.0,4.0,56.36,28.18,8.7,https://www.tinkoff.ru/invest/bonds/RU000A102KG6/,5.0
175,Роял Капитал БО-П08,RU000A1056Q8,996.8,Средний,19.0,2024-03-13,34.63,1000.0,4.0,138.52,138.52,13.9,https://www.tinkoff.ru/invest/bonds/RU000A1056Q8/,14.0
176,ЛК Эволюция 001P-01,RU000A107GV2,1007.0,Средний,35.0,2024-03-26,36.28,1000.0,4.0,145.12,290.24,14.41,https://www.tinkoff.ru/invest/bonds/RU000A107GV2/,9.0
177,Лизинг-Трейд выпуск 2,RU000A1029F8,735.92311,Средний,8.0,2024-02-04,5.74,750.1,12.0,68.88,0.0,9.36,https://www.tinkoff.ru/invest/bonds/RU000A1029F8/,2.0
178,Банк ВТБ (ПАО) Б-1-346,RU000A107B35,1000.4,Высокий,34.0,2024-02-01,11.74,1000.0,12.0,140.88,23.48,14.08,https://www.tinkoff.ru/invest/bonds/RU000A107B35/,6.0
179,СФО ВТБ РКС-1 выпуск 1,RU000A1032P1,886.4,Высокий,82.0,2024-02-01,5.83,1000.0,12.0,69.96,34.98,7.89,https://www.tinkoff.ru/invest/bonds/RU000A1032P1/,3.0
180,Энергоника 001Р-03,RU000A105492,884.43,Средний,43.0,2024-02-20,30.45,900.0,4.0,121.8,304.5,13.77,https://www.tinkoff.ru/invest/bonds/RU000A105492/,22.0
181,ТЕХНО Лизинг выпуск 3,RU000A102234,956.4,Средний,18.0,2024-02-07,8.87,1000.0,12.0,106.44,8.87,11.13,https://www.tinkoff.ru/invest/bonds/RU000A102234/,2.0
182,Феррони БО-01,RU000A1053R3,1040.1,Низкий,18.0,2024-02-09,14.27,1000.0,12.0,171.24,14.27,16.46,https://www.tinkoff.ru/invest/bonds/RU000A1053R3/,3.0
183,ДАРС-Девелопмент выпуск 1,RU000A106UM4,983.0,Средний,19.0,2024-03-07,32.19,1000.0,4.0,128.76,128.76,13.1,https://www.tinkoff.ru/invest/bonds/RU000A106UM4/,16.0
184,ВИС Финанс выпуск 5,RU000A107D33,1000.4,Средний,46.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A107D33/,0.0
185,ПЗ Пушкинское выпуск 1,RU000A104JF6,977.9,Средний,24.0,2024-02-12,29.58,1000.0,4.0,118.32,177.48,12.1,https://www.tinkoff.ru/invest/bonds/RU000A104JF6/,24.0
186,Реиннольц,RU000A105LS2,1034.2,Низкий,34.0,2024-03-12,38.98,1000.0,4.0,155.92,311.84,15.08,https://www.tinkoff.ru/invest/bonds/RU000A105LS2/,17.0
187,Лизинг-Трейд 001P-06,RU000A105RF6,968.0,Низкий,47.0,2024-02-13,10.35,1000.0,12.0,124.2,31.05,12.83,https://www.tinkoff.ru/invest/bonds/RU000A105RF6/,0.0
188,РусГидро БО-П12,RU000A106ZU6,1002.5,Высокий,56.0,2024-04-10,37.24,1000.0,4.0,148.96,521.36,14.86,https://www.tinkoff.ru/invest/bonds/RU000A106ZU6/,2.0
189,ГТЛК 002P выпуск 1,RU000A102VR0,949.2,Средний,145.0,2024-03-18,16.96,1000.0,4.0,67.84,610.56,7.15,https://www.tinkoff.ru/invest/bonds/RU000A102VR0/,6.0
190,Азбука Вкуса выпуск 2,RU000A105WR1,942.0,Средний,109.0,2024-03-01,22.18,1000.0,4.0,88.72,598.86,9.42,https://www.tinkoff.ru/invest/bonds/RU000A105WR1/,12.0
191,ТрансФин-М 001Р выпуск 4,RU000A0ZYEB1,885.5,Средний,44.0,2024-04-18,43.33,1000.0,2.0,86.66,953.26,9.79,https://www.tinkoff.ru/invest/bonds/RU000A0ZYEB1/,24.0
192,Проект 111 001Р-01,RU000A106U90,969.4,Средний,31.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A106U90/,0.0
193,Автобан-Финанс выпуск 2,RU000A100733,985.0,Средний,2.0,2024-03-19,31.41,1000.0,2.0,62.82,31.41,6.38,https://www.tinkoff.ru/invest/bonds/RU000A100733/,23.0
194,МБЭС выпуск 2,RU000A101RJ7,962.5,Средний,76.0,2024-06-10,26.88,1000.0,2.0,53.76,1021.44,5.59,https://www.tinkoff.ru/invest/bonds/RU000A101RJ7/,6.0
195,ВТБ Б-1-343,RU000A106TM6,1006.9,Высокий,31.0,2024-02-01,11.74,1000.0,12.0,140.88,23.48,13.99,https://www.tinkoff.ru/invest/bonds/RU000A106TM6/,6.0
196,Лайфстрим БО-П02,RU000A1068S9,931.1,Средний,51.0,2024-02-15,29.23,1000.0,4.0,116.92,350.76,12.56,https://www.tinkoff.ru/invest/bonds/RU000A1068S9/,22.0
197,БЭЛТИ-ГРАНД БО-П06,RU000A1076A0,999.7,Низкий,56.0,2024-02-06,12.09,1000.0,12.0,145.08,48.36,14.51,https://www.tinkoff.ru/invest/bonds/RU000A1076A0/,4.0
198,СУЭК-Финанс выпуск 6,RU000A102986,971.2,Средний,80.0,2024-04-18,29.06,1000.0,2.0,58.12,1162.4,5.98,https://www.tinkoff.ru/invest/bonds/RU000A102986/,16.0
199,ГТЛК выпуск 9,RU000A0ZZ1J8,944.7,Средний,110.0,2024-03-29,15.92,1000.0,4.0,63.68,429.84,6.74,https://www.tinkoff.ru/invest/bonds/RU000A0ZZ1J8/,3.0
200,Мосгорломбард выпуск 3,RU000A106FW4,1000.7,Низкий,41.0,2024-03-29,34.63,1000.0,4.0,138.52,346.3,13.84,https://www.tinkoff.ru/invest/bonds/RU000A106FW4/,7.0
201,Элит Строй выпуск 1,RU000A103M85,991.0,Средний,6.0,2024-01-18,10.0,1000.0,12.0,120.0,0.0,12.11,https://www.tinkoff.ru/invest/bonds/RU000A103M85/,10.0
202,Завод КЭС выпуск 2,RU000A102AB8,492.85,Низкий,9.0,2024-01-25,15.14,500.0,4.0,60.56,30.28,12.29,https://www.tinkoff.ru/invest/bonds/RU000A102AB8/,15.0
203,Россети Центр 001Р-03,RU000A107AG6,1000.6,Высокий,40.0,2024-02-03,12.01,1000.0,12.0,144.12,36.03,14.4,https://www.tinkoff.ru/invest/bonds/RU000A107AG6/,5.0
204,ПР-Лизинг выпуск 3,RU000A100Q35,964.0,Средний,29.0,2024-01-19,7.83,1000.0,12.0,93.96,15.66,9.75,https://www.tinkoff.ru/invest/bonds/RU000A100Q35/,8.0
205,Мосрегионлифт БО-01,RU000A105RU5,1026.1,Низкий,23.0,2024-01-19,12.79,1000.0,12.0,153.48,12.79,14.96,https://www.tinkoff.ru/invest/bonds/RU000A105RU5/,13.0
206,Балтийский лизинг БО-П03,RU000A101Z66,365.3625,Высокий,6.0,2024-01-26,5.74,375.0,4.0,22.96,5.74,6.28,https://www.tinkoff.ru/invest/bonds/RU000A101Z66/,5.0
207,Бизнес-Недвижимость выпуск 1,RU000A1022G1,586.86,Средний,7.0,2024-02-23,13.57,600.0,4.0,54.28,13.57,9.25,https://www.tinkoff.ru/invest/bonds/RU000A1022G1/,9.0
208,Аэрофьюэлз выпуск 2,RU000A103SZ7,962.0,Средний,8.0,2024-03-28,21.4,1000.0,4.0,85.6,42.8,8.9,https://www.tinkoff.ru/invest/bonds/RU000A103SZ7/,5.0
209,Балтийский лизинг БО-П06,RU000A1058M3,946.0,Высокий,20.0,2024-03-27,47.24,1000.0,2.0,94.48,472.4,9.99,https://www.tinkoff.ru/invest/bonds/RU000A1058M3/,33.0
210,Автодом выпуск 1,RU000A104CJ3,968.3,Средний,11.0,2024-03-27,26.54,1000.0,4.0,106.16,53.08,10.96,https://www.tinkoff.ru/invest/bonds/RU000A104CJ3/,6.0
211,Лизинг-Трейд выпуск 4,RU000A104XE0,997.8,Средний,40.0,2024-01-26,10.7,1000.0,12.0,128.4,32.1,12.87,https://www.tinkoff.ru/invest/bonds/RU000A104XE0/,8.0
212,Аренза-Про 001P-03,RU000A107217,999.9,Низкий,58.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A107217/,0.0
213,Группа Продовольствие 001P-01,RU000A103455,989.0,Средний,3.0,2024-02-08,8.53,1000.0,12.0,102.36,0.0,10.35,https://www.tinkoff.ru/invest/bonds/RU000A103455/,2.0
214,Авто Финанс Банк БO-001P-11,RU000A107HR8,1005.2,Высокий,35.0,2024-03-28,40.11,1000.0,4.0,160.44,320.88,15.96,https://www.tinkoff.ru/invest/bonds/RU000A107HR8/,9.0
215,Агротек БО-03,RU000A106YL8,1005.1,Низкий,41.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A106YL8/,0.0
216,Аренза-Про выпуск 2,RU000A106GC4,963.0,Средний,29.0,2024-01-30,9.22,1000.0,12.0,110.64,18.44,11.49,https://www.tinkoff.ru/invest/bonds/RU000A106GC4/,5.0
217,Глобал Факторинг Нетворк Рус,RU000A105JN7,997.824,Низкий,21.0,2024-01-25,13.66,960.0,12.0,163.92,13.66,16.43,https://www.tinkoff.ru/invest/bonds/RU000A105JN7/,11.0
218,Эталон-Финанс выпуск 3,RU000A103QH9,906.1,Высокий,31.0,2024-03-19,19.66,1000.0,4.0,78.64,137.62,8.68,https://www.tinkoff.ru/invest/bonds/RU000A103QH9/,7.0
219,Центр-Резерв БО-02,RU000A1056T2,985.53,Низкий,31.0,2024-02-07,12.18,950.0,12.0,146.16,24.36,14.83,https://www.tinkoff.ru/invest/bonds/RU000A1056T2/,3.0
220,Урожай выпуск 2,RU000A1037C8,984.6,Средний,4.0,2024-03-05,24.88,1000.0,4.0,99.52,24.88,10.11,https://www.tinkoff.ru/invest/bonds/RU000A1037C8/,13.0
221,Аэрофьюэлз 002Р-02,RU000A107AW3,1007.0,Средний,34.0,2024-03-01,34.63,1000.0,4.0,138.52,277.04,13.76,https://www.tinkoff.ru/invest/bonds/RU000A107AW3/,20.0
222,Брусника выпуск 2Р-1,RU000A1048A9,964.8,Средний,16.0,2024-03-12,25.66,1000.0,4.0,102.64,102.64,10.64,https://www.tinkoff.ru/invest/bonds/RU000A1048A9/,11.0
223,Мосрегионлифт БО-02,RU000A106DJ6,999.2,Низкий,40.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A106DJ6/,0.0
224,Вита Лайн 001Р выпуск 2,RU000A102B97,954.3,Средний,21.0,2024-01-30,21.14,1000.0,4.0,84.56,105.7,8.86,https://www.tinkoff.ru/invest/bonds/RU000A102B97/,20.0
225,ЛК РОДЕЛЕН 002P-01,RU000A107076,1005.3,Средний,55.0,2024-02-07,11.22,1000.0,12.0,134.64,44.88,13.39,https://www.tinkoff.ru/invest/bonds/RU000A107076/,3.0
226,Сегежа,RU000A104UA4,991.6,Средний,159.0,2024-02-26,32.19,1000.0,4.0,128.76,1255.41,12.99,https://www.tinkoff.ru/invest/bonds/RU000A104UA4/,20.0
227,Электрощит-Стройсистема выпуск 2,RU000A101UD4,966.9,Средний,17.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A101UD4/,0.0
228,ГТЛК 001P-20,RU000A1038M5,970.0,Низкий,148.0,2024-03-13,16.96,1000.0,4.0,67.84,627.52,6.99,https://www.tinkoff.ru/invest/bonds/RU000A1038M5/,7.0
229,ЭнергоТехСервис выпуск 4,RU000A103828,568.399,Высокий,16.0,2024-03-07,12.79,598.0,4.0,51.16,51.16,9.0,https://www.tinkoff.ru/invest/bonds/RU000A103828/,6.0
230,ЛК РОДЕЛЕН 001P-03,RU000A105M59,996.9,Средний,46.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A105M59/,0.0
231,ГК Самолет выпуск 9,RU000A102RX6,994.4,Высокий,0.0,2024-02-15,39.24,1000.0,2.0,78.48,0.0,7.89,https://www.tinkoff.ru/invest/bonds/RU000A102RX6/,37.0
232,АФК Система выпуск 19,RU000A102SX4,917.6,Высокий,85.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A102SX4/,0.0
233,Охта Групп БО-П03,RU000A1070A3,1000.3,Низкий,32.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A1070A3/,0.0
234,АФК Система выпуск 12,RU000A101012,942.7,Высокий,69.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A101012/,0.0
235,Т.Г. Шевченко выпуск 4,RU000A104ZU1,722.2,Средний,30.0,2024-01-25,0.0,1000.0,4.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A104ZU1/,0.0
236,ХКФ Банк выпуск 4,RU000A103760,850.2,Средний,28.0,2024-03-04,17.31,1000.0,4.0,69.24,121.17,8.14,https://www.tinkoff.ru/invest/bonds/RU000A103760/,9.0
237,Лизинг-Трейд 001P-10,RU000A107480,1038.5,Низкий,56.0,2024-01-21,14.27,1000.0,12.0,171.24,57.08,16.49,https://www.tinkoff.ru/invest/bonds/RU000A107480/,13.0
238,Авто Финанс Банк БО-1P выпуск 9,RU000A103NY1,948.0,Средний,7.0,2024-03-13,34.19,1000.0,2.0,68.38,102.57,7.21,https://www.tinkoff.ru/invest/bonds/RU000A103NY1/,27.0
239,Охта Групп выпуск 2,RU000A1040V2,977.0,Низкий,9.0,2024-02-13,27.06,1000.0,4.0,108.24,54.12,11.08,https://www.tinkoff.ru/invest/bonds/RU000A1040V2/,21.0
240,Новые Технологии выпуск 2,RU000A106PW3,935.3,Высокий,54.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A106PW3/,0.0
241,Балтийский лизинг БО-П04,RU000A103M10,492.5265,Высокий,7.0,2024-02-26,9.13,505.0,4.0,36.52,9.13,7.41,https://www.tinkoff.ru/invest/bonds/RU000A103M10/,5.0
242,НК Продкорпорация выпуск 1,RU000A102BF7,909.7,Низкий,26.0,2024-03-26,38.98,1000.0,2.0,77.96,506.74,8.57,https://www.tinkoff.ru/invest/bonds/RU000A102BF7/,27.0
243,Лизинг-Трейд 001P-05,RU000A1053H4,999.8,Средний,42.0,2024-02-08,10.7,1000.0,12.0,128.4,32.1,12.84,https://www.tinkoff.ru/invest/bonds/RU000A1053H4/,2.0
244,Сибэнергомаш-БКЗ выпуск 1,RU000A104K37,995.4,Средний,12.0,2024-02-15,32.19,1000.0,4.0,128.76,96.57,12.94,https://www.tinkoff.ru/invest/bonds/RU000A104K37/,25.0
245,Азбука Вкуса выпуск 1,RU000A100HE1,980.1,Средний,64.0,2024-03-22,23.84,1000.0,4.0,95.36,381.44,9.73,https://www.tinkoff.ru/invest/bonds/RU000A100HE1/,7.0
246,Европлан БО 03,RU000A100W60,963.0,Высокий,68.0,2024-03-28,43.33,1000.0,2.0,86.66,1473.22,9.0,https://www.tinkoff.ru/invest/bonds/RU000A100W60/,30.0
247,ТД РКС-Сочи 002Р-2,RU000A104KS7,992.2,Средний,13.0,2024-02-20,32.19,1000.0,4.0,128.76,96.57,12.98,https://www.tinkoff.ru/invest/bonds/RU000A104KS7/,23.0
248,Гидромашсервис БО выпуск 3,RU000A1026H0,979.0,Высокий,80.0,2024-03-29,54.2,1000.0,2.0,108.4,2168.0,11.07,https://www.tinkoff.ru/invest/bonds/RU000A1026H0/,37.0
249,ЛСР выпуск 5,RU000A100ZL8,380.0,Высокий,9.0,2024-01-25,7.22,400.0,4.0,28.88,14.44,7.6,https://www.tinkoff.ru/invest/bonds/RU000A100ZL8/,7.0
250,ДиректЛизинг выпуск 7,RU000A103S30,793.73,Низкий,32.0,2024-03-27,21.14,850.0,4.0,84.56,169.12,10.65,https://www.tinkoff.ru/invest/bonds/RU000A103S30/,5.0
251,Биннофарм Групп выпуск 2,RU000A104Z71,976.0,Высокий,161.0,2024-01-18,21.75,1000.0,4.0,87.0,870.0,8.91,https://www.tinkoff.ru/invest/bonds/RU000A104Z71/,25.0
252,ВИС Финанс выпуск 2,RU000A102VK5,988.8,Высокий,2.0,2024-03-22,27.67,1000.0,4.0,110.68,0.0,11.19,https://www.tinkoff.ru/invest/bonds/RU000A102VK5/,15.0
253,НПО Химтэк выпуск 1,RU000A103H25,877.95,Средний,18.0,2024-02-01,25.32,900.0,4.0,101.28,101.28,11.54,https://www.tinkoff.ru/invest/bonds/RU000A103H25/,24.0
254,Экспобанк 001Р-01,RU000A103RT2,958.7,Средний,8.0,2024-03-26,19.49,1000.0,4.0,77.96,38.98,8.13,https://www.tinkoff.ru/invest/bonds/RU000A103RT2/,5.0
255,ГК ЕКС выпуск 1,RU000A104BU2,978.6,Средний,11.0,2024-03-21,28.19,1000.0,4.0,112.76,56.38,11.52,https://www.tinkoff.ru/invest/bonds/RU000A104BU2/,9.0
256,МКБ 001Р выпуск 3,RU000A103FP5,965.0,Высокий,6.0,2024-01-23,36.19,1000.0,2.0,72.38,108.57,7.5,https://www.tinkoff.ru/invest/bonds/RU000A103FP5/,40.0
257,Петроинжиниринг выпуск 1,RU000A103RL9,962.5,Средний,32.0,2024-03-22,21.14,1000.0,4.0,84.56,169.12,8.79,https://www.tinkoff.ru/invest/bonds/RU000A103RL9/,6.0
258,ЛК РОДЕЛЕН 001P-04,RU000A105SK4,982.8,Средний,47.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A105SK4/,0.0
259,Агротек БО-02,RU000A1065Y3,992.6,Низкий,42.0,2024-01-25,32.19,1000.0,4.0,128.76,321.9,12.97,https://www.tinkoff.ru/invest/bonds/RU000A1065Y3/,33.0
260,Аренза-Про 001P-01,RU000A105TR7,992.9,Средний,24.0,2024-02-04,10.35,1000.0,12.0,124.2,20.7,12.51,https://www.tinkoff.ru/invest/bonds/RU000A105TR7/,4.0
261,РЖД 001Р выпуск 12,RU000A1002C2,998.1,Высокий,0.0,2024-01-26,37.67,1000.0,2.0,75.34,0.0,7.55,https://www.tinkoff.ru/invest/bonds/RU000A1002C2/,41.0
262,Авто Финанс Банк БО-1P выпуск 8,RU000A1030Y7,979.0,Высокий,3.0,2024-04-23,32.19,1000.0,2.0,64.38,32.19,6.58,https://www.tinkoff.ru/invest/bonds/RU000A1030Y7/,17.0
263,ГК Самолет выпуск 11,RU000A104JQ3,972.8,Высокий,48.0,2024-02-13,55.07,1000.0,2.0,110.14,1321.68,11.32,https://www.tinkoff.ru/invest/bonds/RU000A104JQ3/,53.0
264,Первое коллекторское бюро 001Р выпуск 2,RU000A103RJ3,674.17,Средний,20.0,2024-03-22,16.27,700.0,4.0,65.08,81.35,9.65,https://www.tinkoff.ru/invest/bonds/RU000A103RJ3/,5.0
265,Ренессанс Кредит выпуск 4,RU000A102H83,936.6,Средний,22.0,2024-06-15,50.11,1000.0,2.0,100.22,551.21,10.7,https://www.tinkoff.ru/invest/bonds/RU000A102H83/,10.0
266,Джи-групп выпуск 2,RU000A103JR3,443.025,Средний,6.0,2024-02-12,10.27,450.0,4.0,41.08,10.27,9.27,https://www.tinkoff.ru/invest/bonds/RU000A103JR3/,8.0
267,ГТЛК выпуск 17,RU000A101QL5,849.3,Средний,135.0,2024-02-26,16.09,1000.0,4.0,64.36,530.97,7.58,https://www.tinkoff.ru/invest/bonds/RU000A101QL5/,10.0
268,Тинькофф Ипотечный Агент выпуск 1,RU000A103D37,186.009124,Высокий,122.0,2024-03-23,3.22,188.44,4.0,12.88,96.6,6.92,https://www.tinkoff.ru/invest/bonds/RU000A103D37/,0.0
