,Название,Код,Срок(месяца),Цена,Рейтинг,Величина купона(-13%),Номинал,Выплат в год,Доходность(год),Доходность(все время),Доходность(% в год),Ссылка
123,Татнефтехим 001P выпуск 1,RU000A103UL3,2,1001.3,04.10.2023,15.66,1000.0,6.0,93.96,62.64,9.4,https://www.tinkoff.ru/invest/bonds/RU000A103UL3/
124,Солид-Лизинг БО-001-07,RU000A105P07,26,947.15,Низкий,9.83,950.0,12.0,117.96,255.58,12.42,https://www.tinkoff.ru/invest/bonds/RU000A105P07/
125,Роял Капитал БО-П08,RU000A1056Q8,23,1019.1,Средний,34.63,1000.0,4.0,138.52,2389.47,13.85,https://www.tinkoff.ru/invest/bonds/RU000A1056Q8/
126,СИБАВТО1Р2,RU000A106CB5,55,991.0,Низкий,31.41,1000.0,4.0,125.64,5182.65,12.56,https://www.tinkoff.ru/invest/bonds/RU000A106CB5/
127,Лизинг-Трейд выпуск 2,RU000A1029F8,11,979.3,Средний,7.66,1000.0,12.0,91.92,84.26,9.19,https://www.tinkoff.ru/invest/bonds/RU000A1029F8/
128,ГТЛК 002P выпуск 1,RU000A102VR0,11,939.0,19.09.2024,16.96,1000.0,4.0,67.84,559.68,6.78,https://www.tinkoff.ru/invest/bonds/RU000A102VR0/
129,Реиннольц,RU000A105LS2,38,1066.0,Низкий,38.98,1000.0,4.0,155.92,4443.72,15.59,https://www.tinkoff.ru/invest/bonds/RU000A105LS2/
130,ЭконЛиз1Р4,RU000A1067T9,31,983.7,Средний,29.58,1000.0,4.0,118.32,2750.94,11.83,https://www.tinkoff.ru/invest/bonds/RU000A1067T9/
131,re:Store выпуск 1,RU000A103935,8,956.6,Средний,17.49,1000.0,4.0,69.96,419.76,7.0,https://www.tinkoff.ru/invest/bonds/RU000A103935/
132,Патриот Групп выпуск 1,RU000A105AX5,24,1022.6,Средний,34.63,1000.0,4.0,138.52,2493.36,13.85,https://www.tinkoff.ru/invest/bonds/RU000A105AX5/
133,Лизинг-Трейд 001P-06,RU000A105RF6,50,996.0,Низкий,10.35,1000.0,12.0,124.2,517.5,12.42,https://www.tinkoff.ru/invest/bonds/RU000A105RF6/
134,Элит Строй 1P-01,RU000A105YF2,28,1000.2,Средний,10.35,1000.0,12.0,124.2,289.8,12.42,https://www.tinkoff.ru/invest/bonds/RU000A105YF2/
135,МФК ВЭББАНКИР 1P-02,RU000A105575,28,974.5,Низкий,11.4,1000.0,12.0,136.8,319.2,13.68,https://www.tinkoff.ru/invest/bonds/RU000A105575/
136,Пионер-Лизинг-БО-П04,RU000A102LF6,86,995.7,Низкий,31.41,1000.0,4.0,125.64,8103.78,12.56,https://www.tinkoff.ru/invest/bonds/RU000A102LF6/
137,КИФА выпуск 1,RU000A106EV9,32,999.5,Средний,31.41,1000.0,4.0,125.64,3015.36,12.56,https://www.tinkoff.ru/invest/bonds/RU000A106EV9/
138,ТЕХНО Лизинг выпуск 3,RU000A102234,21,972.5,Средний,8.87,1000.0,12.0,106.44,186.27,10.64,https://www.tinkoff.ru/invest/bonds/RU000A102234/
139,Солид-Лизинг выпуск 1,RU000A104CF1,38,749.925,Средний,23.58,750.0,4.0,94.32,2688.12,12.58,https://www.tinkoff.ru/invest/bonds/RU000A104CF1/
140,Интерлизинг выпуск 6,RU000A106SF2,34,981.0,Высокий,29.23,1000.0,4.0,116.92,2981.46,11.69,https://www.tinkoff.ru/invest/bonds/RU000A106SF2/
141,Лайфстрим БО-П02,RU000A1068S9,55,969.1,Средний,29.23,1000.0,4.0,116.92,4822.95,11.69,https://www.tinkoff.ru/invest/bonds/RU000A1068S9/
142,Сибэнергомаш-БКЗ выпуск 1,RU000A104K37,16,1007.0,Средний,32.19,1000.0,4.0,128.76,1545.12,12.88,https://www.tinkoff.ru/invest/bonds/RU000A104K37/
143,МСБ-Лизинг 002Р-06,RU000A105658,10,667.239976,Средний,6.87,666.64,12.0,82.44,68.7,12.37,https://www.tinkoff.ru/invest/bonds/RU000A105658/
144,ГТЛК выпуск 3,RU000A0JXE06,4,988.5,06.02.2024,23.84,1000.0,4.0,95.36,286.08,9.54,https://www.tinkoff.ru/invest/bonds/RU000A0JXE06/
145,ГТЛК выпуск 9,RU000A0ZZ1J8,12,936.0,02.10.2024,15.92,1000.0,4.0,63.68,573.12,6.37,https://www.tinkoff.ru/invest/bonds/RU000A0ZZ1J8/
146,АйДи Коллект выпуск 1,RU000A103HG0,9,982.9,Низкий,8.53,1000.0,12.0,102.36,76.77,10.24,https://www.tinkoff.ru/invest/bonds/RU000A103HG0/
147,Сбербанк 002СУБ-03R,RU000A103Q24,37,8800000.0,Средний,368736.45,10000000.0,2.0,737472.9,81859491.9,7.37,https://www.tinkoff.ru/invest/bonds/RU000A103Q24/
148,Джи-групп выпуск 2,RU000A103JR3,2,603.42,21.12.2023,13.75,600.0,4.0,55.0,82.5,9.17,https://www.tinkoff.ru/invest/bonds/RU000A103JR3/
