,Название,Код,Цена,Рейтинг,Срок(месяца),Дата купона,Величина купона(-13%),Номинал,Выплат в год,Доходность(год),Доходность(все время),Доходность(% в год),Ссылка
87,УК ОРГ выпуск 3,RU000A106UB7,981.0,Низкий,31.0,2024-02-04,11.74,1000.0,12.0,140.88,23.48,14.36,https://www.tinkoff.ru/invest/bonds/RU000A106UB7/
88,АСПЭК-Домстрой выпуск 1,RU000A104B53,981.7,Низкий,11.0,2024-03-21,31.41,1000.0,4.0,125.64,62.82,12.8,https://www.tinkoff.ru/invest/bonds/RU000A104B53/
89,МФК Займер выпуск 2,RU000A103CW8,494.74782,Низкий,5.0,2024-01-24,4.52,500.2,12.0,54.24,0.0,10.96,https://www.tinkoff.ru/invest/bonds/RU000A103CW8/
90,Айди Коллект выпуск 3,RU000A1065M8,955.0,Низкий,26.0,2024-01-21,10.7,1000.0,12.0,128.4,21.4,13.45,https://www.tinkoff.ru/invest/bonds/RU000A1065M8/
91,Трейдберри БО-01,RU000A106VN0,1005.0,Средний,31.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A106VN0/
92,СибАвтоТранс выпуск 1,RU000A105SZ2,1006.9,Низкий,36.0,2024-02-01,38.98,1000.0,4.0,155.92,350.82,15.49,https://www.tinkoff.ru/invest/bonds/RU000A105SZ2/
93,Фармфорвард БО-01,RU000A107BD1,1025.9,Низкий,34.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A107BD1/
94,Плаза-Телеком БО-01,RU000A106YD5,997.1,Низкий,32.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A106YD5/
95,ТЕХНО Лизинг выпуск 5,RU000A103TS0,853.3,Низкий,43.0,2024-01-22,8.18,1000.0,12.0,98.16,24.54,11.5,https://www.tinkoff.ru/invest/bonds/RU000A103TS0/
96,СОБИЛИЗ1Р2,RU000A106AK0,852.808,Низкий,27.0,2024-01-25,8.96,880.0,12.0,107.52,17.92,12.61,https://www.tinkoff.ru/invest/bonds/RU000A106AK0/
97,АйДи Коллект выпуск 4,RU000A106XT3,981.9,Низкий,31.0,2024-01-23,11.74,1000.0,12.0,140.88,23.48,14.35,https://www.tinkoff.ru/invest/bonds/RU000A106XT3/
98,Альфа Дон Транс выпуск 1,RU000A106Y70,1010.6,Средний,44.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A106Y70/
99,Айди Коллект выпуск 2,RU000A104JV3,990.2,Низкий,12.0,2024-02-06,11.74,1000.0,12.0,140.88,11.74,14.23,https://www.tinkoff.ru/invest/bonds/RU000A104JV3/
100,УК ОРГ выпуск 2,RU000A106L67,985.0,Низкий,29.0,2024-01-20,11.74,1000.0,12.0,140.88,23.48,14.3,https://www.tinkoff.ru/invest/bonds/RU000A106L67/
101,Бизнес Альянс 1Р-01,RU000A105YQ9,954.0,Низкий,25.0,2024-03-14,32.19,1000.0,4.0,128.76,193.14,13.5,https://www.tinkoff.ru/invest/bonds/RU000A105YQ9/
102,Нафтатранс Плюс выпуск 3,RU000A102V51,926.8,Низкий,25.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A102V51/
103,Солид-Лизинг выпуск 1,RU000A104CF1,663.18,Средний,35.0,2024-03-26,22.01,700.0,4.0,88.04,176.08,13.28,https://www.tinkoff.ru/invest/bonds/RU000A104CF1/
104,Электроаппарат БО-01,RU000A104WZ7,986.9,Низкий,29.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A104WZ7/
105,Россети Ленэнерго 001P-01,RU000A107EC7,1000.0,Высокий,46.0,2024-01-17,9.4,1000.0,12.0,112.8,28.2,11.28,https://www.tinkoff.ru/invest/bonds/RU000A107EC7/
106,Талан-Финанс выпуск 3,RU000A1043B8,966.4,Средний,16.0,2024-02-19,28.19,1000.0,4.0,112.76,112.76,11.67,https://www.tinkoff.ru/invest/bonds/RU000A1043B8/
107,Сибстекло БО-П03,RU000A105C93,999.9,Низкий,20.0,2024-01-21,12.09,1000.0,12.0,145.08,12.09,14.51,https://www.tinkoff.ru/invest/bonds/RU000A105C93/
108,Роял Капитал БО-П10,RU000A1079H9,1019.6,Низкий,34.0,2024-02-27,43.33,1000.0,4.0,173.32,346.64,17.0,https://www.tinkoff.ru/invest/bonds/RU000A1079H9/
109,БЭЛТИ-ГРАНД выпуск 4,RU000A103DY2,832.35,Средний,36.0,2024-01-30,7.83,895.0,12.0,93.96,23.49,11.29,https://www.tinkoff.ru/invest/bonds/RU000A103DY2/
110,ТрансФин-М 001Р-07,RU000A103M36,959.0,Средний,91.0,2024-02-26,21.23,1000.0,4.0,84.92,467.06,8.86,https://www.tinkoff.ru/invest/bonds/RU000A103M36/
111,Мани Капитал 001P-01,RU000A1074F4,991.9,Низкий,32.0,2024-01-22,14.96,1000.0,12.0,179.52,29.92,18.1,https://www.tinkoff.ru/invest/bonds/RU000A1074F4/
112,Быстроденьги 2P-03,RU000A1070G0,986.1,Низкий,38.0,2024-02-08,14.96,1000.0,12.0,179.52,44.88,18.21,https://www.tinkoff.ru/invest/bonds/RU000A1070G0/
113,ГЛОРАКС 01,RU000A1053W3,957.5,Средний,19.0,2024-02-19,29.58,1000.0,4.0,118.32,118.32,12.36,https://www.tinkoff.ru/invest/bonds/RU000A1053W3/
114,МаксимаТелеком выпуск 2,RU000A102DK3,974.3,Средний,4.0,2024-05-21,42.28,1000.0,2.0,84.56,84.56,8.68,https://www.tinkoff.ru/invest/bonds/RU000A102DK3/
115,Лизинг трейд выпуск 3,RU000A1034X1,908.0,Средний,27.0,2024-02-10,7.83,1000.0,12.0,93.96,15.66,10.35,https://www.tinkoff.ru/invest/bonds/RU000A1034X1/
116,Неолизинг выпуск 1,RU000A106PY9,1002.9,Средний,30.0,2024-02-05,12.09,1000.0,12.0,145.08,24.18,14.47,https://www.tinkoff.ru/invest/bonds/RU000A106PY9/
117,РЕСО-Лизинг БО-П выпуск 11,RU000A103C53,963.0,Средний,89.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A103C53/
118,Унител БО-П01,RU000A107F07,1002.0,Средний,35.0,2024-03-20,41.15,1000.0,4.0,164.6,329.2,16.43,https://www.tinkoff.ru/invest/bonds/RU000A107F07/
119,ЭкономЛизинг 001Р-06,RU000A1078Y6,995.0,Низкий,34.0,2024-02-22,43.33,1000.0,4.0,173.32,346.64,17.42,https://www.tinkoff.ru/invest/bonds/RU000A1078Y6/
120,Сибстекло БО-П04,RU000A107209,1002.6,Низкий,44.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A107209/
121,Т.Г. Шевченко выпуск 3,RU000A104Z89,831.2,Средний,18.0,2024-01-18,0.0,1000.0,4.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A104Z89/
122,РСХБ выпуск T1,RU000A0ZZ4T1,754.5,Средний,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A0ZZ4T1/
