,Название,Код,Цена,Рейтинг,Срок(месяца),Дата купона,НКД,Величина купона(-13%),Номинал,Выплат в год,Доходность(год),Осталось выплат,Доходность(% в год),Доходность(все время),Ссылка,Статус квал. инвестора
21,Сегежа 002P выпуск 1,RU000A1041B2,938.1,Средний,150.0,2024-05-15,37.0,42.72,1000.0,2.0,85.44,25.0,9.11,1068.0,https://www.tinkoff.ru/invest/bonds/RU000A1041B2/,Не важен / Неизвестно
22,СПМК БО-02,RU000A106FN3,950.0,Низкий,38.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A106FN3/,Не важен / Неизвестно
23,Пионер-Лизинг-БО-П03,RU000A1013N6,1071.8,Низкий,66.0,2024-04-03,17.0,15.66,1000.0,12.0,187.92,66.0,17.53,1034.0,https://www.tinkoff.ru/invest/bonds/RU000A1013N6/,Не важен / Неизвестно
24,Пионер-Лизинг-БО-П04,RU000A102LF6,1000.0,Низкий,80.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A102LF6/,Не важен / Неизвестно
25,М.Видео выпуск 3,RU000A104ZK2,915.4,Средний,15.0,2024-04-23,23.0,26.71,1000.0,4.0,106.84,5.0,11.67,134.0,https://www.tinkoff.ru/invest/bonds/RU000A104ZK2/,Не важен / Неизвестно
26,МФК ВЭББАНКИР выпуск 4,RU000A106Y88,936.2,Низкий,35.0,2024-04-23,4.0,12.79,1000.0,12.0,153.48,35.0,16.39,448.0,https://www.tinkoff.ru/invest/bonds/RU000A106Y88/,Не важен / Неизвестно
27,АПРИ Флай Плэнинг БО-2Р-02,RU000A106631,982.8,Низкий,36.0,2024-04-25,33.0,38.98,1000.0,4.0,155.92,12.0,15.86,468.0,https://www.tinkoff.ru/invest/bonds/RU000A106631/,Не важен / Неизвестно
28,НИКА обб01,RU000A1050X7,830.76,Низкий,15.0,2024-04-30,22.0,27.93,860.0,4.0,111.72,5.0,13.45,140.0,https://www.tinkoff.ru/invest/bonds/RU000A1050X7/,Не важен / Неизвестно
29,AzurDrive выпуск 1,RU000A106TJ2,936.3,Низкий,40.0,2024-04-27,2.0,11.4,1000.0,12.0,136.8,40.0,14.61,456.0,https://www.tinkoff.ru/invest/bonds/RU000A106TJ2/,Не важен / Неизвестно
30,Фордевинд2,RU000A106DK4,945.0,Низкий,25.0,2024-04-10,9.0,11.4,1000.0,12.0,136.8,25.0,14.48,285.0,https://www.tinkoff.ru/invest/bonds/RU000A106DK4/,Не важен / Неизвестно
