,Название,Код,Цена,Рейтинг,Срок(месяца),Дата купона,НКД,Величина купона(-13%),Номинал,Выплат в год,Доходность(год),Доходность(все время),Доходность(% в год),Ссылка,Статус квалифицированного инвестора
266,Балтийский лизинг БО-П08,RU000A106EM8,941.5,Высокий,110.0,2024-04-18,1.0,7.57,1000.0,12.0,90.84,68.13,9.65,https://www.tinkoff.ru/invest/bonds/RU000A106EM8/,
267,НЗРМ БО-01,RU000A104EP6,999.9,Высокий,32.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A104EP6/,
268,Сибэнергомаш-БКЗ выпуск 1,RU000A104K37,990.0,Средний,10.0,2024-05-16,16.0,32.19,1000.0,4.0,128.76,64.38,13.01,https://www.tinkoff.ru/invest/bonds/RU000A104K37/,
269,Росгеология выпуск 1,RU000A103SV6,965.0,Высокий,6.0,2024-03-28,44.0,38.98,1000.0,2.0,77.96,116.94,8.08,https://www.tinkoff.ru/invest/bonds/RU000A103SV6/,
270,Синара - Транспортные Машины выпуск 1,RU000A1035D0,986.5,Высокий,1.0,2024-05-24,27.0,35.06,1000.0,2.0,70.12,0.0,7.11,https://www.tinkoff.ru/invest/bonds/RU000A1035D0/,
271,Сегежа 002P выпуск 3,RU000A104FG2,998.3,Средний,153.0,2024-04-24,26.0,34.63,1000.0,4.0,138.52,1315.94,13.88,https://www.tinkoff.ru/invest/bonds/RU000A104FG2/,
272,ВТБ Б-1-343,RU000A106TM6,1000.3,Высокий,29.0,2024-04-01,10.0,11.74,1000.0,12.0,140.88,23.48,14.08,https://www.tinkoff.ru/invest/bonds/RU000A106TM6/,
273,АФК Система выпуск 19,RU000A102SX4,925.5,Высокий,82.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A102SX4/,
274,ТрансФин-М 001Р выпуск 4,RU000A0ZYEB1,890.0,Средний,42.0,2024-04-18,43.0,43.33,1000.0,2.0,86.66,909.93,9.74,https://www.tinkoff.ru/invest/bonds/RU000A0ZYEB1/,
275,Азбука Вкуса выпуск 1,RU000A100HE1,988.0,Средний,62.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A100HE1/,
276,Истринская Сыроварня выпуск 2,RU000A106SL0,996.5,Средний,28.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A106SL0/,
277,О'КЕЙ 001P выпуск 1,RU000A105FM7,917.1,Высокий,103.0,2024-05-13,13.0,24.88,1000.0,4.0,99.52,622.0,10.85,https://www.tinkoff.ru/invest/bonds/RU000A105FM7/,
278,Гарант-Инвест БО 001P-05,RU000A1005T9,99.87,Средний,0.0,2024-04-05,2.0,2.52,100.0,4.0,10.08,0.0,10.09,https://www.tinkoff.ru/invest/bonds/RU000A1005T9/,
279,НПФ МИКРАН выпуск 1,RU000A106F08,927.8,Средний,26.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A106F08/,
280,Феррони БО-01,RU000A1053R3,1044.6,Низкий,16.0,2024-04-09,8.0,14.27,1000.0,12.0,171.24,14.27,16.39,https://www.tinkoff.ru/invest/bonds/RU000A1053R3/,
281,ГК ЕКС выпуск 1,RU000A104BU2,978.6,Средний,8.0,2024-06-20,1.0,28.19,1000.0,4.0,112.76,56.38,11.52,https://www.tinkoff.ru/invest/bonds/RU000A104BU2/,
282,ЛСР выпуск 4,RU000A100WA8,385.36,Высокий,6.0,2024-03-29,8.0,7.31,400.0,4.0,29.24,7.31,7.59,https://www.tinkoff.ru/invest/bonds/RU000A100WA8/,
283,Ритейл Бел Финанс выпуск 1,RU000A100JH0,246.625,Высокий,3.0,2024-04-02,6.0,5.92,250.0,4.0,23.68,0.0,9.6,https://www.tinkoff.ru/invest/bonds/RU000A100JH0/,
284,Новые Технологии выпуск 2,RU000A106PW3,927.2,Высокий,52.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A106PW3/,
285,Агротек БО-03,RU000A106YL8,1002.5,Низкий,38.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A106YL8/,
286,ЛК Дельта выпуск 1,RU000A103CD8,495.2,Средний,3.0,2024-04-01,12.0,11.31,500.0,4.0,45.24,0.0,9.14,https://www.tinkoff.ru/invest/bonds/RU000A103CD8/,
287,МБЭС выпуск 2,RU000A101RJ7,979.3,Высокий,74.0,2024-06-10,17.0,26.88,1000.0,2.0,53.76,994.56,5.49,https://www.tinkoff.ru/invest/bonds/RU000A101RJ7/,
288,Ренессанс Кредит выпуск 4,RU000A102H83,927.6,Средний,20.0,2024-06-15,31.0,50.11,1000.0,2.0,100.22,501.1,10.8,https://www.tinkoff.ru/invest/bonds/RU000A102H83/,
289,ЭнергоТехСервис выпуск 4,RU000A103828,504.2376,Высокий,14.0,2024-06-06,2.0,11.4,531.0,4.0,45.6,34.2,9.04,https://www.tinkoff.ru/invest/bonds/RU000A103828/,
290,ИЛС БО-01-001P,RU000A107BH2,1055.0,Низкий,31.0,2024-04-03,10.0,13.57,1000.0,12.0,162.84,27.14,15.44,https://www.tinkoff.ru/invest/bonds/RU000A107BH2/,
291,ВИС Финанс выпуск 4,RU000A106EZ0,937.9,Высокий,29.0,2024-05-22,11.0,27.93,1000.0,4.0,111.72,195.51,11.91,https://www.tinkoff.ru/invest/bonds/RU000A106EZ0/,
292,Агротек БО-02,RU000A1065Y3,975.4,Низкий,39.0,2024-04-25,24.0,32.19,1000.0,4.0,128.76,289.71,13.2,https://www.tinkoff.ru/invest/bonds/RU000A1065Y3/,
293,О'КЕЙ выпуск 2,RU000A1009Z8,941.5,Высокий,60.0,2024-04-12,19.0,21.4,1000.0,4.0,85.6,321.0,9.09,https://www.tinkoff.ru/invest/bonds/RU000A1009Z8/,
294,ЯТЭК выпуск 2,RU000A102ZH2,765.6,Высокий,12.0,2024-04-08,33.0,31.32,800.0,2.0,62.64,187.92,8.18,https://www.tinkoff.ru/invest/bonds/RU000A102ZH2/,
295,Асфальтобетонный завод № 1 выпуск 4,RU000A1065B1,970.5,Средний,24.0,2024-04-23,23.0,29.75,1000.0,4.0,119.0,178.5,12.26,https://www.tinkoff.ru/invest/bonds/RU000A1065B1/,
296,Ренессанс Кредит выпуск 6,RU000A102RN7,869.8,Средний,22.0,2024-08-17,8.0,35.32,1000.0,2.0,70.64,388.52,8.12,https://www.tinkoff.ru/invest/bonds/RU000A102RN7/,
297,Роял Капитал БО-П08,RU000A1056Q8,999.2,Средний,17.0,2024-06-12,5.0,34.63,1000.0,4.0,138.52,138.52,13.86,https://www.tinkoff.ru/invest/bonds/RU000A1056Q8/,
298,АФК Система выпуск 17,RU000A102FT9,899.4,Высокий,80.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A102FT9/,
299,АФК Система выпуск 8,RU000A0ZYWU3,966.0,Высокий,46.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A0ZYWU3/,
300,ГК Самолет выпуск 6,RU000A100QA0,981.9,Средний,64.0,2024-05-08,14.0,24.36,1000.0,4.0,97.44,389.76,9.92,https://www.tinkoff.ru/invest/bonds/RU000A100QA0/,
301,Асфальтобетонный завод № 1 выпуск 3,RU000A105SX7,980.0,Средний,22.0,2024-05-02,20.0,30.88,1000.0,4.0,123.52,154.4,12.6,https://www.tinkoff.ru/invest/bonds/RU000A105SX7/,
302,Лайфстрим БО-П02,RU000A1068S9,929.8,Средний,49.0,2024-05-16,14.0,29.23,1000.0,4.0,116.92,350.76,12.57,https://www.tinkoff.ru/invest/bonds/RU000A1068S9/,
303,Мираторг выпуск 1,RU000A103KA7,970.5,Высокий,4.0,2024-08-15,8.0,35.93,1000.0,2.0,71.86,71.86,7.4,https://www.tinkoff.ru/invest/bonds/RU000A103KA7/,
304,ХКФ Банк выпуск 4,RU000A103760,855.1,Средний,26.0,2024-06-03,4.0,17.31,1000.0,4.0,69.24,103.86,8.1,https://www.tinkoff.ru/invest/bonds/RU000A103760/,
305,Моторика БО-01,RU000A1071Q7,998.7,Средний,30.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A1071Q7/,
306,Элемент Лизинг 001P-07,RU000A1080N5,999.9,Высокий,23.0,2024-04-12,5.0,11.22,1000.0,12.0,134.64,11.22,13.47,https://www.tinkoff.ru/invest/bonds/RU000A1080N5/,
307,ГК Пионер-001Р выпуск 5,RU000A102KG6,490.7085,Средний,8.0,2024-06-18,0.0,10.61,505.0,4.0,42.44,21.22,8.65,https://www.tinkoff.ru/invest/bonds/RU000A102KG6/,
308,Патриот Групп выпуск 1,RU000A105AX5,1000.1,Средний,18.0,2024-04-16,30.0,34.63,1000.0,4.0,138.52,138.52,13.85,https://www.tinkoff.ru/invest/bonds/RU000A105AX5/,
309,О'КЕЙ выпуск 5,RU000A106AH6,923.6,Высокий,109.0,2024-05-27,9.0,25.4,1000.0,4.0,101.6,685.8,11.0,https://www.tinkoff.ru/invest/bonds/RU000A106AH6/,
310,Регион-Продукт 001P-04,RU000A1075R6,1067.5,Высокий,30.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A1075R6/,
311,Новотранс выпуск 1,RU000A1014S3,364.125,Высокий,8.0,2024-05-29,2.0,7.05,375.0,4.0,28.2,14.1,7.74,https://www.tinkoff.ru/invest/bonds/RU000A1014S3/,
312,Биннофарм Групп выпуск 2,RU000A104Z71,983.1,Высокий,159.0,2024-04-18,19.0,21.75,1000.0,4.0,87.0,848.25,8.85,https://www.tinkoff.ru/invest/bonds/RU000A104Z71/,
313,ПАО НК Роснефть 001P-04,RU000A0JXQK2,993.5,Высокий,36.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A0JXQK2/,
314,Брусника выпуск 2Р-1,RU000A1048A9,968.8,Средний,14.0,2024-06-11,4.0,25.66,1000.0,4.0,102.64,76.98,10.59,https://www.tinkoff.ru/invest/bonds/RU000A1048A9/,
315,РЕСО-Лизинг БО-П выпуск 11,RU000A103C53,979.0,Средний,86.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A103C53/,
316,Новые Технологии БО-03,RU000A1082W2,1002.7,Средний,35.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A1082W2/,
317,Эталон-Финанс выпуск 3,RU000A103QH9,912.7,Высокий,29.0,2024-06-18,1.0,19.66,1000.0,4.0,78.64,137.62,8.62,https://www.tinkoff.ru/invest/bonds/RU000A103QH9/,
318,ЛСР выпуск 5,RU000A100ZL8,383.6,Высокий,6.0,2024-04-25,5.0,7.22,400.0,4.0,28.88,7.22,7.53,https://www.tinkoff.ru/invest/bonds/RU000A100ZL8/,
319,ГТЛК выпуск 17,RU000A101QL5,847.3,Средний,133.0,2024-05-27,5.0,16.09,1000.0,4.0,64.36,530.97,7.6,https://www.tinkoff.ru/invest/bonds/RU000A101QL5/,
320,Балтийский лизинг БО-П03,RU000A101Z66,245.55,Высокий,4.0,2024-04-26,2.0,3.83,250.0,4.0,15.32,3.83,6.24,https://www.tinkoff.ru/invest/bonds/RU000A101Z66/,
321,СУЭК-Финанс выпуск 6,RU000A102986,993.5,Средний,78.0,2024-04-18,29.0,29.06,1000.0,2.0,58.12,1133.34,5.85,https://www.tinkoff.ru/invest/bonds/RU000A102986/,
322,Боржоми Финанс 001Р-02,RU000A107TB7,1001.9,Высокий,34.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A107TB7/,
323,ЭР-Телеком Холдинг выпуск 3,RU000A106JV8,955.8,Высокий,15.0,2024-04-11,24.0,26.01,1000.0,4.0,104.04,78.03,10.89,https://www.tinkoff.ru/invest/bonds/RU000A106JV8/,
324,О'КЕЙ выпуск 3,RU000A1014B9,363.0,Высокий,8.0,2024-05-28,2.0,6.35,375.0,4.0,25.4,12.7,7.0,https://www.tinkoff.ru/invest/bonds/RU000A1014B9/,
325,ЭР-Телеком Холдинг,RU000A1058K7,975.5,Высокий,8.0,2024-03-26,30.0,26.62,1000.0,4.0,106.48,53.24,10.92,https://www.tinkoff.ru/invest/bonds/RU000A1058K7/,
326,РЕСО-Лизинг БО-П выпуск 7,RU000A100XU4,960.0,Средний,6.0,2024-04-12,38.0,37.5,1000.0,2.0,75.0,112.5,7.81,https://www.tinkoff.ru/invest/bonds/RU000A100XU4/,
327,Республика Беларусь выпуск 7,RU000A100D89,925.2,Средний,13.0,2024-05-02,33.0,36.8,1000.0,2.0,73.6,220.8,7.96,https://www.tinkoff.ru/invest/bonds/RU000A100D89/,
328,ЕвроТранс 002Р-01,RU000A1082G5,1000.9,Средний,82.0,2024-04-18,2.0,12.09,1000.0,12.0,145.08,72.54,14.49,https://www.tinkoff.ru/invest/bonds/RU000A1082G5/,
329,Т.Г. Шевченко выпуск 4,RU000A104ZU1,740.4,Средний,27.0,2024-04-25,0.0,0.0,1000.0,4.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A104ZU1/,
330,Авто Финанс Банк БО-1P выпуск 9,RU000A103NY1,964.0,Средний,5.0,2024-09-12,2.0,34.19,1000.0,2.0,68.38,68.38,7.09,https://www.tinkoff.ru/invest/bonds/RU000A103NY1/,
331,ГТЛК выпуск 4,RU000A0JXPG2,940.0,Высокий,96.0,2024-04-16,23.0,26.71,1000.0,4.0,106.84,641.04,11.37,https://www.tinkoff.ru/invest/bonds/RU000A0JXPG2/,
332,ММЦБ выпуск 2,RU000A105054,953.0,Средний,34.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A105054/,
333,Сэтл Групп выпуск 4,RU000A103WQ8,939.0,Средний,12.0,2024-04-19,17.0,20.45,1000.0,4.0,81.8,61.35,8.71,https://www.tinkoff.ru/invest/bonds/RU000A103WQ8/,
334,ЕАБР,RU000A1050H0,921.0,Высокий,16.0,2024-07-30,14.0,40.54,1000.0,2.0,81.08,324.32,8.8,https://www.tinkoff.ru/invest/bonds/RU000A1050H0/,
335,Заслон выпуск 1,RU000A1064X8,939.1,Средний,24.0,2024-04-18,54.0,54.2,1000.0,2.0,108.4,650.4,11.54,https://www.tinkoff.ru/invest/bonds/RU000A1064X8/,
336,Кармани выпуск 1,RU000A103R98,492.7,Низкий,5.0,2024-04-10,2.0,4.52,500.0,12.0,54.24,0.0,11.01,https://www.tinkoff.ru/invest/bonds/RU000A103R98/,
337,БЭЛТИ-ГРАНД БО-П06,RU000A1076A0,1000.0,Низкий,54.0,2024-04-06,8.0,12.09,1000.0,12.0,145.08,48.36,14.51,https://www.tinkoff.ru/invest/bonds/RU000A1076A0/,
338,Элемент Лизинг 001P выпуск 6,RU000A1071U9,860.9831,Средний,30.0,2024-04-15,3.0,9.48,861.5,12.0,113.76,18.96,13.21,https://www.tinkoff.ru/invest/bonds/RU000A1071U9/,
339,Балтийский лизинг БО-П04,RU000A103M10,332.452,Высокий,5.0,2024-05-27,2.0,6.18,340.0,4.0,24.72,6.18,7.44,https://www.tinkoff.ru/invest/bonds/RU000A103M10/,
340,Эталон выпуск 002Р-01,RU000A105VU7,966.8,Высокий,166.0,2024-05-22,12.0,29.67,1000.0,4.0,118.68,1216.47,12.28,https://www.tinkoff.ru/invest/bonds/RU000A105VU7/,
341,Интерлизинг выпуск 7,RU000A1077X0,1007.2,Высокий,31.0,2024-04-14,4.0,11.4,1000.0,12.0,136.8,22.8,13.58,https://www.tinkoff.ru/invest/bonds/RU000A1077X0/,
342,ГТЛК БО-08,RU000A0JWST1,934.0,Средний,29.0,2024-09-03,4.0,35.58,1000.0,2.0,71.16,498.12,7.62,https://www.tinkoff.ru/invest/bonds/RU000A0JWST1/,
343,АФК Система выпуск 10,RU000A1008J4,920.0,Высокий,59.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A1008J4/,
344,ЛСР выпуск 7,RU000A103PX8,899.8,Высокий,29.0,2024-06-14,2.0,18.7,1000.0,4.0,74.8,130.9,8.31,https://www.tinkoff.ru/invest/bonds/RU000A103PX8/,
345,КАМАЗ,RU000A104ZC9,985.0,Высокий,15.0,2024-04-19,19.0,23.4,1000.0,4.0,93.6,70.2,9.5,https://www.tinkoff.ru/invest/bonds/RU000A104ZC9/,
346,Верхнебаканский цементный завод 001P выпуск 1,RU000A0ZYLK7,899.9,Средний,44.0,2024-06-14,0.0,1.57,1000.0,4.0,6.28,17.27,0.7,https://www.tinkoff.ru/invest/bonds/RU000A0ZYLK7/,
347,ХКФ Банк выпуск 7,RU000A102RF3,1001.5,Средний,22.0,2024-05-10,20.0,35.76,1000.0,4.0,143.04,178.8,14.28,https://www.tinkoff.ru/invest/bonds/RU000A102RF3/,
348,Ритейл Бел Финанс 001P-02,RU000A102TR4,912.1,Высокий,23.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A102TR4/,
349,HENDERSON выпуск 1,RU000A103Q08,657.045,Высокий,12.0,2024-03-26,17.0,15.31,675.0,4.0,61.24,45.93,9.32,https://www.tinkoff.ru/invest/bonds/RU000A103Q08/,
350,ПИК-Корпорация выпуск 2,RU000A1016Z3,483.8,Высокий,8.0,2024-06-12,1.0,8.87,500.0,4.0,35.48,17.74,7.33,https://www.tinkoff.ru/invest/bonds/RU000A1016Z3/,
351,Сэтл Групп 2Р-01,RU000A1053A9,957.0,Высокий,16.0,2024-05-15,13.0,26.27,1000.0,4.0,105.08,105.08,10.98,https://www.tinkoff.ru/invest/bonds/RU000A1053A9/,
352,Урожай серия 3,RU000A106J04,1005.9,Средний,27.0,2024-04-09,33.0,34.63,1000.0,4.0,138.52,207.78,13.77,https://www.tinkoff.ru/invest/bonds/RU000A106J04/,
353,ГТЛК 002Р-02,RU000A105KB0,915.0,Средний,163.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A105KB0/,
354,Биннофарм Групп выпуск 1,RU000A1043Z7,990.0,Высокий,151.0,2024-05-22,12.0,29.58,1000.0,4.0,118.32,1094.46,11.95,https://www.tinkoff.ru/invest/bonds/RU000A1043Z7/,
355,МСБ-Лизинг 002Р-06,RU000A105658,332.61344,Средний,5.0,2024-04-04,2.0,3.39,333.28,12.0,40.68,0.0,12.23,https://www.tinkoff.ru/invest/bonds/RU000A105658/,
356,ЕвразХолдинг Финанс 002P-01R,RU000A100P85,973.8,Высокий,4.0,2024-07-29,12.0,34.45,1000.0,2.0,68.9,68.9,7.08,https://www.tinkoff.ru/invest/bonds/RU000A100P85/,
357,ГТЛК выпуск 14,RU000A100FE5,915.4,Средний,122.0,2024-06-06,5.0,24.36,1000.0,4.0,97.44,730.8,10.64,https://www.tinkoff.ru/invest/bonds/RU000A100FE5/,
358,ГТЛК выпуск 7,RU000A0ZYNY4,912.5,Средний,105.0,2024-04-12,23.0,25.32,1000.0,4.0,101.28,658.32,11.1,https://www.tinkoff.ru/invest/bonds/RU000A0ZYNY4/,
359,МКБ 001Р выпуск 3,RU000A103FP5,975.0,Высокий,3.0,2024-07-23,14.0,36.19,1000.0,2.0,72.38,36.19,7.42,https://www.tinkoff.ru/invest/bonds/RU000A103FP5/,
360,Частная пивоварня Афанасий БО-01,RU000A107225,1001.1,Средний,30.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A107225/,
361,ЛСР выпуск 6,RU000A102T63,724.8,Высокий,22.0,2024-05-28,4.0,13.83,800.0,4.0,55.32,69.15,7.63,https://www.tinkoff.ru/invest/bonds/RU000A102T63/,
362,ГК Самолет выпуск 10,RU000A103L03,974.9,Высокий,4.0,2024-05-22,8.0,19.84,1000.0,4.0,79.36,19.84,8.14,https://www.tinkoff.ru/invest/bonds/RU000A103L03/,
363,ГТЛК выпуск 13,RU000A1003A4,862.6,Средний,117.0,2024-05-03,13.0,20.71,1000.0,4.0,82.84,600.59,9.6,https://www.tinkoff.ru/invest/bonds/RU000A1003A4/,
364,Технология БО-01,RU000A107DD7,1034.3,Средний,14.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A107DD7/,
365,Асфальтобетонный завод № 1 выпуск 2,RU000A1046N6,980.1,Средний,8.0,2024-06-04,7.0,27.58,1000.0,4.0,110.32,55.16,11.26,https://www.tinkoff.ru/invest/bonds/RU000A1046N6/,
366,Домодедово Фьюэл Фасилитис,RU000A105MP6,955.0,Средний,20.0,2024-06-18,34.0,55.51,1000.0,2.0,111.02,555.1,11.63,https://www.tinkoff.ru/invest/bonds/RU000A105MP6/,
367,Аренза-Про выпуск 1,RU000A104C78,396.56,Средний,8.0,2024-03-25,14.0,12.53,400.0,4.0,50.12,25.06,12.64,https://www.tinkoff.ru/invest/bonds/RU000A104C78/,
368,Саммит 001P-03,RU000A107S85,1002.9,Высокий,34.0,2024-04-13,6.0,14.96,1000.0,12.0,179.52,29.92,17.9,https://www.tinkoff.ru/invest/bonds/RU000A107S85/,
369,Практика ЛК 001P-02,RU000A1074N8,974.268,Средний,31.0,2024-03-28,11.0,11.22,970.0,12.0,134.64,22.44,13.82,https://www.tinkoff.ru/invest/bonds/RU000A1074N8/,
370,Ульяновская область,RU000A101U61,869.4,Средний,39.0,2024-06-28,15.0,28.62,1000.0,2.0,57.24,543.78,6.58,https://www.tinkoff.ru/invest/bonds/RU000A101U61/,
371,NexTouch выпуск 1,RU000A103WZ9,977.1,Средний,6.0,2024-04-23,19.0,24.88,1000.0,4.0,99.52,24.88,10.19,https://www.tinkoff.ru/invest/bonds/RU000A103WZ9/,
372,АФК Система выпуск 9,RU000A1005L6,927.8,Высокий,58.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A1005L6/,
373,Первое коллекторское бюро 001Р выпуск 2,RU000A103RJ3,578.22,Средний,17.0,2024-06-21,0.0,13.92,600.0,4.0,55.68,55.68,9.63,https://www.tinkoff.ru/invest/bonds/RU000A103RJ3/,
374,Европлан 001Р-01,RU000A102RU2,489.5,Высокий,4.0,2024-05-14,4.0,7.66,500.0,4.0,30.64,7.66,6.26,https://www.tinkoff.ru/invest/bonds/RU000A102RU2/,
375,ЕвроТранс БО-001P-03,RU000A1061K1,964.9,Средний,35.0,2024-03-29,9.0,9.66,1000.0,12.0,115.92,19.32,12.01,https://www.tinkoff.ru/invest/bonds/RU000A1061K1/,
376,ГТЛК выпуск 16,RU000A101GD3,418.5,Высокий,46.0,2024-05-23,3.0,7.48,500.0,4.0,29.92,82.28,7.15,https://www.tinkoff.ru/invest/bonds/RU000A101GD3/,
377,ТМК выпуск 7,RU000A0JXSF8,945.0,Высокий,37.0,2024-05-24,34.0,45.07,1000.0,2.0,90.14,811.26,9.54,https://www.tinkoff.ru/invest/bonds/RU000A0JXSF8/,
378,Европлан БО 03,RU000A100W60,971.6,Высокий,65.0,2024-03-28,49.0,43.33,1000.0,2.0,86.66,1386.56,8.92,https://www.tinkoff.ru/invest/bonds/RU000A100W60/,
379,Глобал Факторинг Нетворк Рус,RU000A105JN7,914.496,Средний,19.0,2024-03-25,13.0,12.53,880.0,12.0,150.36,12.53,16.44,https://www.tinkoff.ru/invest/bonds/RU000A105JN7/,
380,ЭнергоТехСервис 001P-05,RU000A107D74,1013.0,Средний,20.0,2024-04-11,5.0,11.57,1000.0,12.0,138.84,11.57,13.71,https://www.tinkoff.ru/invest/bonds/RU000A107D74/,
381,Синара - Транспортные Машины выпуск 3,RU000A105M91,941.9,Высокий,44.0,2024-06-14,3.0,24.88,1000.0,4.0,99.52,273.68,10.57,https://www.tinkoff.ru/invest/bonds/RU000A105M91/,
382,Первое коллекторское бюро 001Р выпуск 3,RU000A1047S3,681.1,Средний,20.0,2024-06-07,3.0,18.53,700.0,4.0,74.12,92.65,10.88,https://www.tinkoff.ru/invest/bonds/RU000A1047S3/,
383,Альфа-Банк выпуск 18,RU000A0JX5W4,952.9,Высокий,93.0,2024-07-15,17.0,40.28,1000.0,2.0,80.56,1852.88,8.45,https://www.tinkoff.ru/invest/bonds/RU000A0JX5W4/,
384,Джи-групп 2Р-03,RU000A106Z38,1000.0,Высокий,30.0,2024-04-02,35.0,33.32,1000.0,4.0,133.28,233.24,13.33,https://www.tinkoff.ru/invest/bonds/RU000A106Z38/,
385,Делимобиль выпуск 1,RU000A1052T1,969.2,Высокий,16.0,2024-05-08,16.0,28.19,1000.0,4.0,112.76,112.76,11.63,https://www.tinkoff.ru/invest/bonds/RU000A1052T1/,
386,Соколов выпуск 1,RU000A105PK0,970.0,Высокий,20.0,2024-03-26,33.0,29.06,1000.0,4.0,116.24,145.3,11.98,https://www.tinkoff.ru/invest/bonds/RU000A105PK0/,
387,ГТЛК выпуск 6,RU000A0JVWJ6,947.6,Средний,18.0,2024-04-22,20.0,25.23,1000.0,4.0,100.92,100.92,10.65,https://www.tinkoff.ru/invest/bonds/RU000A0JVWJ6/,
388,АФК Система выпуск 24,RU000A105L27,920.4,Высокий,103.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A105L27/,
389,Селигдар выпуск 1,RU000A105CS1,933.0,Высокий,19.0,2024-05-01,42.0,46.81,1000.0,2.0,93.62,421.29,10.03,https://www.tinkoff.ru/invest/bonds/RU000A105CS1/,
390,Ульяновская область выпуск 3,RU000A102CX8,261.0,Средний,19.0,2024-05-15,2.0,4.0,300.0,4.0,16.0,16.0,6.13,https://www.tinkoff.ru/invest/bonds/RU000A102CX8/,
391,Синара - Транспортные Машины выпуск 2,RU000A103G00,864.0,Высокий,27.0,2024-07-24,14.0,37.67,1000.0,2.0,75.34,489.71,8.72,https://www.tinkoff.ru/invest/bonds/RU000A103G00/,
392,Светофор Групп выпуск 2,RU000A1020W2,678.37,Средний,16.0,2024-05-09,10.0,18.18,700.0,4.0,72.72,72.72,10.72,https://www.tinkoff.ru/invest/bonds/RU000A1020W2/,
393,Сэтл Групп 2Р-02,RU000A105X64,947.5,Высокий,23.0,2024-06-06,6.0,26.45,1000.0,4.0,105.8,132.25,11.17,https://www.tinkoff.ru/invest/bonds/RU000A105X64/,
394,Новотранс выпуск 2,RU000A103133,934.8,Высокий,24.0,2024-04-18,16.0,19.84,1000.0,4.0,79.36,119.04,8.49,https://www.tinkoff.ru/invest/bonds/RU000A103133/,
395,ГТЛК выпуск 18,RU000A101SC0,813.8,Средний,133.0,2024-06-05,4.0,16.96,1000.0,4.0,67.84,559.68,8.34,https://www.tinkoff.ru/invest/bonds/RU000A101SC0/,
396,АФК Система выпуск 23,RU000A104693,911.4,Средний,91.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A104693/,
397,ГТЛК выпуск 3,RU000A0JXE06,1002.7,Высокий,93.0,2024-05-02,26.0,39.41,1000.0,4.0,157.64,906.43,15.72,https://www.tinkoff.ru/invest/bonds/RU000A0JXE06/,
398,Уралкалий выпуск 6,RU000A101GZ6,927.0,Высокий,11.0,2024-08-27,5.0,29.67,1000.0,2.0,59.34,148.35,6.4,https://www.tinkoff.ru/invest/bonds/RU000A101GZ6/,
