,Название,Код,Цена,Рейтинг,Срок(месяца),Дата купона,НКД,Величина купона(-13%),Номинал,Выплат в год,Доходность(год),Доходность(все время),Доходность(% в год),Ссылка,Статус квалифицированного инвестора
902,Сегежа 003P-03R,RU000A107BP5,995.1,Средний,29.0,2024-06-05,10.0,0.0,1000.0,4.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A107BP5/,
903,ОФЗ 29020,SU29020RMFS3,997.52,Высокий,41.0,2024-03-27,38.0,33.76,1000.0,4.0,135.04,337.6,13.54,https://www.tinkoff.ru/invest/bonds/SU29020RMFS3/,
904,ОФЗ 29024,SU29024RMFS5,976.0,Высокий,132.0,2024-05-01,23.0,32.45,1000.0,4.0,129.8,1070.85,13.3,https://www.tinkoff.ru/invest/bonds/SU29024RMFS5/,
905,ДОМ.РФ ИА БО-001Р-18,RU000A104UV0,774.806656,Высокий,98.0,2024-03-28,9.0,8.79,782.08,12.0,105.48,70.32,13.61,https://www.tinkoff.ru/invest/bonds/RU000A104UV0/,
906,ДОМ.РФ ИА БО выпуск 9,RU000A103N43,498.84224,Средний,89.0,2024-05-28,3.0,9.83,599.57,4.0,39.32,216.26,7.88,https://www.tinkoff.ru/invest/bonds/RU000A103N43/,
907,ОФЗ 29018,SU29018RMFS7,991.55,Высокий,92.0,2024-06-05,8.0,33.49,1000.0,4.0,133.96,770.27,13.51,https://www.tinkoff.ru/invest/bonds/SU29018RMFS7/,
908,Металлоинвест 001P-04,RU000A105W08,1013.0,Высокий,34.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A105W08/,
909,ДОМ.РФ ИА 018P,RU000A102D46,326.510014,Средний,323.0,2024-05-28,1.0,5.13,415.46,4.0,20.52,410.4,6.28,https://www.tinkoff.ru/invest/bonds/RU000A102D46/,
910,ОФЗ 29019,SU29019RMFS5,992.7,Высокий,63.0,2024-04-24,26.0,32.02,1000.0,4.0,128.08,480.3,12.9,https://www.tinkoff.ru/invest/bonds/SU29019RMFS5/,
911,Газпром Капитал БО-002P-09,RU000A107050,993.7,Высокий,48.0,2024-04-09,35.0,33.84,1000.0,4.0,135.36,406.08,13.62,https://www.tinkoff.ru/invest/bonds/RU000A107050/,
912,ВЭБ.РФ ПБО-2 выпуск 31,RU000A1042W6,1003.0,Высокий,54.0,2024-04-24,29.0,34.8,1000.0,4.0,139.2,452.4,13.88,https://www.tinkoff.ru/invest/bonds/RU000A1042W6/,
913,ОФЗ 29017,SU29017RMFS9,988.91,Высокий,101.0,2024-06-05,8.0,33.49,1000.0,4.0,133.96,837.25,13.55,https://www.tinkoff.ru/invest/bonds/SU29017RMFS9/,
914,Альфа-Банк 001Р выпуск 7,RU000A106VT7,1001.5,Высокий,5.0,2024-04-22,10.0,11.05,1000.0,12.0,132.6,0.0,13.24,https://www.tinkoff.ru/invest/bonds/RU000A106VT7/,
915,Селигдар Золотые облигации,RU000A1062M5,6823.790103,Высокий,48.0,2024-04-05,77.0,76.04,6377.97,4.0,304.16,912.48,4.46,https://www.tinkoff.ru/invest/bonds/RU000A1062M5/,
916,КИВИ Финанс 001Р-02,RU000A107548,900.0,Низкий,43.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A107548/,
917,TCS-perp1,RU000A107738,95113.4299416,Высокий,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A107738/,
918,ГазКап2P12,RU000A107T27,997.3,Средний,58.0,2024-05-20,16.0,0.0,1000.0,4.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A107T27/,
919,ОФЗ 29014,SU29014RMFS6,997.87,Высокий,24.0,2024-03-27,38.0,33.76,1000.0,4.0,135.04,202.56,13.53,https://www.tinkoff.ru/invest/bonds/SU29014RMFS6/,
920,ЕАБР 003Р-008,RU000A106JX4,1004.5,Высокий,51.0,2024-07-12,35.0,62.64,1000.0,2.0,125.28,1566.0,12.47,https://www.tinkoff.ru/invest/bonds/RU000A106JX4/,
921,ДОМ.РФ ИА 09,RU000A102JB9,342.433586,Средний,320.0,2024-05-28,1.0,5.57,433.57,4.0,22.28,445.6,6.51,https://www.tinkoff.ru/invest/bonds/RU000A102JB9/,
922,Газпром Капитал выпуск 7,RU000A106375,995.7,Высокий,48.0,2024-04-10,34.0,1.74,1000.0,4.0,6.96,20.88,0.7,https://www.tinkoff.ru/invest/bonds/RU000A106375/,
923,Газпром Нефть 003P-09R,RU000A107HH9,1001.0,Высокий,44.0,2024-03-28,41.0,0.0,1000.0,4.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A107HH9/,
924,Легенда 2Р-01,RU000A1067H4,1022.8,Средний,37.0,2024-05-09,25.0,43.33,1000.0,4.0,173.32,389.97,16.95,https://www.tinkoff.ru/invest/bonds/RU000A1067H4/,
925,ОФЗ 29022,SU29022RMFS9,989.0,Высокий,111.0,2024-05-01,23.0,32.45,1000.0,4.0,129.8,876.15,13.12,https://www.tinkoff.ru/invest/bonds/SU29022RMFS9/,
926,SELGOLD002,RU000A106XD7,7029.798534,Высокий,69.0,2024-04-11,71.0,76.04,6377.97,4.0,304.16,1292.68,4.33,https://www.tinkoff.ru/invest/bonds/RU000A106XD7/,
927,МТС выпуск 002P-01,RU000A1075E4,998.4,Высокий,43.0,2024-04-30,25.0,0.0,1000.0,4.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A1075E4/,
928,Норильский никель БО-09,RU000A1069N8,1004.6,Высокий,49.0,2024-05-22,15.0,36.19,1000.0,4.0,144.76,434.28,14.41,https://www.tinkoff.ru/invest/bonds/RU000A1069N8/,
